iter	Passed	Remaining
916	7191	650
917	7198	643
918	7205	635
919	7212	627
920	7219	619
921	7227	611
922	7234	603
923	7242	595
924	7249	587
925	7256	579
926	7264	572
927	7271	564
928	7278	556
929	7287	548
930	7294	540
931	7301	532
932	7308	524
933	7315	516
934	7322	509
935	7329	501
936	7337	493
937	7343	485
938	7350	477
939	7356	469
940	7364	461
941	7371	453
942	7378	446
943	7386	438
944	7393	430
945	7401	422
946	7408	414
947	7418	406
948	7425	399
949	7431	391
950	7438	383
951	7444	375
952	7451	367
953	7459	359
954	7466	351
955	7475	344
956	7482	336
957	7489	328
958	7496	320
959	7503	312
960	7510	304
961	7516	296
962	7522	289
963	7529	281
964	7537	273
965	7544	265
966	7552	257
967	7560	249
968	7568	242
969	7575	234
970	7582	226
971	7589	218
972	7596	210
973	7605	203
974	7612	195
975	7618	187
976	7625	179
977	7631	171
978	7637	163
979	7645	156
980	7651	148
981	7659	140
982	7665	132
983	7672	124
984	7679	116
985	7686	109
986	7693	101
987	7701	93
988	7707	85
989	7714	77
990	7722	70
991	7729	62
992	7735	54
993	7742	46
994	7750	38
995	7757	31
996	7764	23
997	7771	15
998	7778	7
999	7785	0
